reason_class,reason_summary,table,column,rows_still_null,rows_total,pct_null,specific_root_cause,backfill_path_or_blocker,session_status,detail_notes
1_no_upstream_source,No public EU source exposes this field,eu_officials,term_end_date,7898,7898,100.0,Most mandates are unbounded,no path,unfillable,only commissioners have explicit terms
1_no_upstream_source,No public EU source exposes this field,eu_officials,city,7898,7898,100.0,Office city not in any EU public source,no path,unfillable,
1_no_upstream_source,No public EU source exposes this field,eu_officials,bio_url,7898,7898,100.0,WhoIsWho bio URL pattern needs verification,verify deterministic URL pattern then UPDATE,unfillable,UPDATED 2026-05-08: WhoIsWho profile URLs use internal PER_PERSON_NN_* IDs we do not have; not deterministic from slug
1_no_upstream_source,No public EU source exposes this field,eu_officials,appointed_date,7898,7898,100.0,Career timelines not in any EU public source,no path,unfillable,LinkedIn or career pages required
1_no_upstream_source,No public EU source exposes this field,secondary_acts,objection_deadline,6722,6722,100.0,Objection period for delegated acts not in machine-readable form,no path,unfillable,rare field
1_no_upstream_source,No public EU source exposes this field,law_requirements,deadline,2023,2023,100.0,Most law-derived requirements have no specific deadline,no path,unfillable,most are inherently date-of-application
1_no_upstream_source,No public EU source exposes this field,legislative_carriages,expected_completion,1714,1714,100.0,No public source for expected completion dates,no path,unfillable,
1_no_upstream_source,No public EU source exposes this field,institutional_publications,updated_date,587,587,100.0,Most EU portals do not expose updated_date,no path,unfillable,
1_no_upstream_source,No public EU source exposes this field,committee_work_items,eurlex_url,428,428,100.0,derivable from celex_numbers[0],"UPDATE SET eurlex_url = ... WHERE array_length(celex_numbers,1) > 0",unfillable,UPDATED 2026-05-08: celex_numbers is null on all 428 rows; work-in-progress items lack adopted CELEX
1_no_upstream_source,No public EU source exposes this field,public_consultations,views_count,124,124,100.0,HYS portal is a true SPA,requires Playwright-rendered scrape,unfillable,HYS Playwright session needed
1_no_upstream_source,No public EU source exposes this field,public_consultations,target_group,124,124,100.0,HYS portal is a true SPA,requires Playwright-rendered scrape,unfillable,HYS Playwright session needed
1_no_upstream_source,No public EU source exposes this field,public_consultations,short_title,124,124,100.0,HYS portal is a true SPA,requires Playwright-rendered scrape,unfillable,HYS Playwright session needed
1_no_upstream_source,No public EU source exposes this field,public_consultations,publication_id,124,124,100.0,HYS portal is a true SPA,requires Playwright-rendered scrape,unfillable,HYS Playwright session needed
1_no_upstream_source,No public EU source exposes this field,public_consultations,outcome_summary,124,124,100.0,HYS portal is a true SPA,requires Playwright-rendered scrape,unfillable,HYS Playwright session needed
1_no_upstream_source,No public EU source exposes this field,public_consultations,outcome_published_date,124,124,100.0,HYS portal is a true SPA,requires Playwright-rendered scrape,unfillable,HYS Playwright session needed
1_no_upstream_source,No public EU source exposes this field,public_consultations,outcome_document_url,124,124,100.0,HYS portal is a true SPA,requires Playwright-rendered scrape,unfillable,HYS Playwright session needed
1_no_upstream_source,No public EU source exposes this field,public_consultations,objectives,124,124,100.0,HYS portal is a true SPA,requires Playwright-rendered scrape,unfillable,HYS Playwright session needed
1_no_upstream_source,No public EU source exposes this field,public_consultations,full_description,124,124,100.0,HYS portal is a true SPA,requires Playwright-rendered scrape,unfillable,HYS Playwright session needed
